Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
H. Preciado,Santos Laguna,CF,,,30,3000000,14,1275,Colombia,Colombia,derecho,182,70,30.56,2.68,0.56,0.49,0.07,2.68,44.74,21.053,29.63,4.02,1.41,18.71,0.05,2,0.85,0.28,1.13,2.61,37.84
L. Suárez,Pumas UNAM,RAMF,RW,CF,29,3000000,18,1244,Argentina,"Argentina, Spain",izquierdo,169,69,46.67,3.91,0.14,0.15,0.0,2.1,37.93,6.897,43.36,1.52,2.1,33.42,0.2,1,0.36,0.58,0.94,3.26,55.56
Léo Bonatini,Atlético de San Luis,CF,,,31,3000000,27,1457,Brazil,"Brazil, Italy",derecho,185,80,42.31,1.91,0.31,0.34,0.0,1.61,42.31,19.231,34.04,3.34,0.8,19.64,0.09,2,0.19,0.31,0.56,1.48,62.5
J. Meneses,Vasco da Gama,LAMF,RAMF,LW,32,3000000,22,959,Chile,Chile,derecho,163,63,11.11,3.85,0.0,0.1,0.0,0.94,50.0,0.0,36.79,3.19,1.97,29.84,0.09,0,0.19,0.66,1.5,3.28,51.43
G. Martínez,Pumas UNAM,CF,,,30,3000000,40,2628,Mexico,Mexico,izquierdo,191,91,48.52,1.44,0.48,0.47,0.17,2.47,45.83,19.444,23.59,2.81,0.65,11.16,0.04,2,0.03,0.1,0.31,0.82,29.17
L. Rodríguez,Querétaro,CF,RCMF,RW,28,3000000,30,2306,Argentina,Argentina,derecho,169,68,25.0,2.93,0.08,0.14,0.08,1.29,45.45,6.061,45.22,1.13,1.64,22.79,0.04,3,0.27,0.2,0.59,3.4,57.47
Vitinho,Club Tijuana,RW,CF,AMF,24,3000000,30,2347,Brazil,Brazil,izquierdo,169,62,8.7,3.83,0.27,0.22,0.04,2.76,45.83,9.722,38.43,2.53,0.96,25.31,0.06,3,0.27,0.23,0.77,4.03,55.24
D. Valoyes,Juárez,RW,RAMF,,28,3000000,15,817,Colombia,Colombia,derecho,181,76,33.33,5.07,0.11,0.23,0.0,2.2,25.0,5.0,33.81,3.75,1.43,21.37,0.13,1,0.33,0.66,0.55,5.73,55.77
J. Torres,Juárez,RW,CF,AMF,25,3000000,31,2759,Mexico,Mexico,derecho,168,71,39.29,4.31,0.1,0.13,0.0,1.6,40.82,6.122,37.85,2.22,1.6,25.77,0.07,2,0.2,0.33,0.62,5.02,55.19
J. Cádiz,Pachuca,CF,,,30,3000000,45,2979,Venezuela,Venezuela,derecho,191,85,51.78,2.15,0.36,0.41,0.06,2.96,43.88,12.245,28.73,3.63,1.39,11.96,0.05,3,0.12,0.21,0.45,1.27,57.14
N. Benedetti,Mazatlán,RW,CF,AMF,28,3000000,22,1724,Colombia,Colombia,derecho,177,76,25.81,4.28,0.21,0.12,0.0,1.46,35.71,14.286,37.25,2.09,2.04,28.24,0.23,3,0.47,0.52,0.78,4.96,51.58
João Pedro,Atlético de San Luis,CF,,,33,3000000,38,2638,Brazil,"Brazil, Italy",derecho,184,73,25.57,1.23,0.27,0.22,0.03,1.09,50.0,25.0,24.52,2.46,1.16,12.08,0.07,2,0.07,0.27,0.51,1.54,40.0
G. Fernández,Cruz Azul,CF,,,31,2800000,29,1276,Uruguay,Uruguay,derecho,186,88,36.36,3.46,0.49,0.45,0.14,2.82,30.0,17.5,39.31,4.23,2.12,14.81,0.08,2,0.07,0.42,0.92,3.95,58.93
I. Pussetto,Independiente,CF,AMF,RCMF,29,2700000,41,2434,Argentina,"Argentina, Italy",derecho,180,74,39.2,1.89,0.33,0.28,0.07,2.66,36.11,12.5,29.21,2.7,1.41,25.37,0.03,1,0.33,0.15,0.44,1.26,50.0
Borja Bastón,,CF,,,32,2500000,18,557,Spain,Spain,derecho,186,82,50.0,0.65,0.0,0.4,0.0,2.1,15.38,0.0,13.64,3.39,0.97,12.44,0.01,0,0.0,0.0,0.65,0.65,25.0
E. Reynoso,Talleres Córdoba,AMF,CF,,29,2500000,38,2116,Argentina,Argentina,izquierdo,176,68,29.31,5.49,0.17,0.1,0.0,1.45,47.06,11.765,40.0,2.13,2.0,44.23,0.19,2,0.68,0.68,1.74,5.74,58.52
J. Colmán,Querétaro,LW,AMF,CF,27,2500000,28,1517,Paraguay,Paraguay,derecho,170,73,18.18,3.86,0.12,0.22,0.0,2.79,23.4,4.255,36.97,1.25,0.47,26.1,0.1,4,0.24,0.24,1.13,4.69,43.04
C. González,Newell's Old Boys,CF,,,32,2500000,28,2076,Paraguay,Paraguay,derecho,183,80,45.2,1.34,0.13,0.26,0.04,1.52,45.71,8.571,21.1,3.29,1.39,14.18,0.05,1,0.0,0.3,0.78,1.34,41.94
J. Domínguez,Toluca,RW,RAMF,,26,2500000,39,2061,Mexico,Mexico,derecho,175,73,16.67,2.84,0.04,0.07,0.0,0.83,47.37,5.263,41.08,3.06,1.0,31.0,0.19,4,0.13,0.79,1.31,3.49,53.75
J. Angulo,Toluca,AMF,CF,RW,28,2500000,43,2910,Mexico,Mexico,izquierdo,172,65,28.57,2.72,0.4,0.21,0.0,1.92,50.0,20.968,36.05,2.26,0.96,37.05,0.15,8,0.31,0.59,1.39,2.04,57.58
R. Fulgencio,Juárez,CF,LAMF,RAMF,25,2500000,27,1664,Mexico,Mexico,derecho,176,60,25.0,2.65,0.0,0.05,0.0,1.03,21.05,0.0,33.33,0.97,0.32,31.32,0.2,4,0.16,0.43,0.59,2.81,53.85
G. del Prete,Atlas,CF,RCMF,AMF,29,2500000,18,854,Argentina,Argentina,izquierdo,175,78,11.76,2.0,0.11,0.15,0.11,1.37,15.38,7.692,41.18,0.95,2.63,21.6,0.12,1,0.32,0.42,0.84,3.16,43.33
J. Murillo,América de Cali,RAMF,RW,,29,2500000,33,2115,Venezuela,Venezuela,derecho,170,70,33.33,2.26,0.13,0.12,0.0,0.72,23.53,17.647,53.15,1.7,1.45,21.96,0.07,1,0.04,0.34,0.85,2.55,61.67
R. Sordo,Santos Laguna,LAMF,LW,RAMF,25,2500000,31,2491,Argentina,Argentina,derecho,174,68,26.09,4.26,0.18,0.17,0.0,1.95,42.59,9.259,48.9,1.45,2.24,24.82,0.12,3,0.04,0.22,0.51,3.87,61.68
R. Aguirre,América,CF,,,30,2300000,43,2303,Uruguay,Uruguay,izquierdo,184,82,40.74,2.42,0.55,0.47,0.12,2.58,51.52,21.212,26.92,3.28,1.06,12.62,0.05,1,0.23,0.16,0.66,1.91,44.9
A. Loba,,CF,,,26,2200000,10,514,Côte d'Ivoire,Côte d'Ivoire,derecho,180,75,23.53,1.58,0.0,0.15,0.0,0.7,50.0,0.0,23.88,2.63,1.58,13.13,0.02,0,0.18,0.18,0.7,2.28,46.15
D. Hernández,Everton,LW,RW,RAMF,24,2000000,38,2040,Uruguay,Uruguay,izquierdo,175,67,35.0,3.04,0.13,0.07,0.0,1.59,27.78,8.333,39.74,1.28,1.5,27.57,0.17,5,0.22,0.53,1.15,3.88,45.45
E. Rigoni,León,CF,LAMF,LW,32,2000000,14,627,Argentina,"Argentina, Italy",derecho,180,74,27.27,3.44,0.14,0.15,0.0,1.44,30.0,10.0,27.27,2.87,0.14,26.7,0.11,1,0.0,0.29,1.0,3.88,48.15
L. Amarilla,Cerro Porteño,CF,,,29,2000000,23,1489,Paraguay,Paraguay,derecho,182,74,38.38,0.91,0.18,0.19,0.06,1.63,22.22,11.111,24.51,2.54,0.85,23.15,0.02,1,0.24,0.12,0.48,1.15,31.58
I. Moreno,León,RW,RCMF,RB,27,2000000,28,1866,Mexico,Mexico,derecho,168,65,35.0,2.46,0.14,0.12,0.0,0.96,45.0,15.0,36.49,2.36,1.06,25.51,0.09,3,0.24,0.48,0.58,2.41,52.0
R. Funes Mori,,CF,,,34,2000000,37,1679,Argentina,"Argentina, Mexico",derecho,186,79,37.5,0.96,0.16,0.23,0.11,1.66,19.35,9.677,16.43,2.25,0.32,17.37,0.04,2,0.16,0.21,0.48,1.29,41.67
D. Blanco,Club Tijuana,LW,,,30,2000000,25,1465,Argentina,Argentina,derecho,167,67,13.64,4.3,0.06,0.13,0.0,1.9,32.26,3.226,36.57,3.13,1.47,23.41,0.07,1,0.12,0.31,1.04,5.28,53.49
